MK935929.1;ATM;Human_feces
MK935930.1;AMP;Gorilla_feces
MK935931.1;AMX;Pan_troglodytes_feces
MK935932.1;AMP;Gorilla_feces
MK935933.1;CAZ;Human_feces
MK935934.1;CST;Human_feces
MK935935.1;PIP;Human_feces
MK935936.1;PIP;Human_feces
MK935937.1;PIP;Gorilla_feces
MK935938.1;AMX;Human_feces
MK935939.1;ATM;Gorilla_feces
MK935940.1;FEP;Human_feces
MK935941.1;AMX;Human_feces
MK935942.1;CST;Gorilla_feces
MK935943.1;CAZ;Human_feces
MK935944.1;PIP;Gorilla_feces
MK935945.1;ATM;Human_feces
MK935946.1;AMP;Human_feces
MK935947.1;AMX;Human_feces
MK935948.1;PEN;Human_feces
MK935949.1;PIP;Gorilla_feces
MK935950.1;PEN;Human_feces
MK935951.1;ATM;Human_feces
MK935952.1;PEN;Gorilla_feces
MK935953.1;AMX;Pan_troglodytes_feces
MK935954.1;PIP;Human_feces
MK935955.1;AMP;Human_feces
MK935956.1;ATM;Human_feces
MK935957.1;PEN;Human_feces
MK935958.1;AMP;Human_feces
MK935959.1;ATM;Human_feces
MK935960.1;ATM;Human_feces
MK935961.1;PEN;Human_feces
MK935962.1;PEN;Gorilla_feces
MK935963.1;AMP;Human_feces
MK935964.1;CAZ;Human_feces
MK935965.1;CST;Human_feces
MK935966.1;ATM;Human_feces
MK935967.1;AMX;Human_feces
MK935968.1;ATM;Human_feces
MK935969.1;ATM;Gorilla_feces
MK935970.1;AMP;Human_feces
MK935971.1;CAZ;Human_feces
MK935972.1;PEN;Pan_troglodytes_feces
MK935973.1;ATM;Human_feces
MK935974.1;PEN;Human_feces
MK935975.1;AMP;Human_feces
MK935976.1;PEN;Pan_troglodytes_feces
MK935977.1;CAZ;Human_feces
MK935978.1;AMP;Pan_troglodytes_feces
MK935979.1;PEN;Human_feces
MK935980.1;PIP;Gorilla_feces
MK935981.1;AMX;Pan_troglodytes_feces
MK935982.1;PEN;Human_feces
MK935983.1;AMP;Human_feces
MK935984.1;CST;Gorilla_feces
MK935985.1;ATM;Gorilla_feces
MK935986.1;ATM;Human_feces
MK935987.1;PEN;Gorilla_feces
MK935988.1;AMX;Human_feces
MK935989.1;CAZ;Pan_troglodytes_feces
MK935990.1;ATM;Pan_troglodytes_feces
MK935991.1;CAZ;Gorilla_feces
MK935992.1;AMX;Human_feces
MK935993.1;AMP;Gorilla_feces
MK935994.1;CST;Human_feces
MK935995.1;CAZ;Human_feces
MK935996.1;AMP;Gorilla_feces
MK935997.1;AMX;Human_feces
MK935998.1;CST;Gorilla_feces
MK935999.1;CST;Gorilla_feces
MK936000.1;AMP;Human_feces
MK936001.1;PEN;Gorilla_feces
MK936002.1;TET;Human_feces
MK936003.1;TET;Human_feces
MK936004.1;TET;Human_feces
MK936005.1;TET;Human_feces
MK936006.1;TET;Human_feces
MK936007.1;TET;Human_feces
MK936008.1;TET;Human_feces
MK936009.1;TET;Human_feces
MK936010.1;TET;Human_feces
MK936011.1;TET;Human_feces
MK936012.1;TET;Human_feces
MK936013.1;TET;Human_feces
MK936014.1;TET;Human_feces
MK936015.1;TET;Human_feces
MK936016.1;TET;Pan_troglodytes_feces
MK936017.1;TET;Human_feces
MK936018.1;TET;Human_feces
MK936019.1;TET;Human_feces
MK936020.1;TET;Human_feces
MK936021.1;TET;Human_feces
MK936022.1;TET;Human_feces
MK936023.1;TET;Human_feces
MK936024.1;TET;Human_feces
MK936025.1;TET;Human_feces
MK936026.1;TET;Human_feces
MK936027.1;TET;Human_feces
MK936028.1;TET;Human_feces
MK936029.1;TET;Human_feces
MK936030.1;TET;Human_feces
MK936031.1;TET;Human_feces
MK936032.1;TET;Pan_troglodytes_feces
MK936033.1;TET;Human_feces
MK936034.1;TET;Human_feces
MK936035.1;TET;Gorilla_feces
MK936036.1;TET;Human_feces
MK936037.1;TET;Human_feces
MK936039.1;CST;Human_feces
JN086157.1;AMX;human fecal matter
JN086158.1;AMX;human fecal matter
JN086159.1;AMX;human fecal matter
JN086160.1;AMX;human fecal matter
JN086161.1;CYC;human fecal matter
JN086162.1;CYC;human fecal matter
JN086163.1;CYC;human fecal matter
JN086164.1;CYC;human fecal matter
JN086165.1;CYC;human fecal matter
JN086166.1;CYC;human fecal matter
JN086167.1;CYC;human fecal matter
JN086168.1;CYC;human fecal matter
JN086169.1;KAN;human fecal matter
JN086171.1;TET;human fecal matter
JN086172.1;TET;human fecal matter
JN086173.1;TET;human fecal matter
JN086170.2;KAN;human fecal matter
KJ910906.1;CHL;feces
KJ910907.1;CHL;feces
KJ910908.1;CHL;feces
KJ910909.1;CHL;feces
KJ910910.1;CAZ;feces
KJ910911.1;PEN;feces
KJ910912.1;PEN;feces
KJ910913.1;PEN;feces
KJ910914.1;TZP;feces
KJ910915.1;PIP;feces
KJ910916.1;TET;feces
KJ910917.1;TET;feces
KJ910918.1;TET;feces
KJ910919.1;TET;feces
KJ910920.1;TET;feces
KJ910921.1;TET;feces
KJ910922.1;TGC;feces
KJ910923.1;TGC;feces
KJ910924.1;TGC;feces
KJ910925.1;TGC;feces
